DateSAT;Satélite Altimetry;Date IN LOCO;Altimetry in loco
09/07/2008 11:49;218.88;01/06/2008 00:00;215.12
19/07/2008 09:47;220.43;01/06/2008 01:00;215.11
29/07/2008 07:46;220.62;01/06/2008 02:00;215.12
08/08/2008 05:45;219.08;01/06/2008 03:00;215.13
18/08/2008 03:43;218.13;01/06/2008 04:00;215.14
06/09/2008 23:40;216.77;01/06/2008 05:00;215.14
26/09/2008 19:37;218.72;01/06/2008 06:00;215.14
06/10/2008 17:36;218.10;01/06/2008 07:00;215.14
16/10/2008 15:34;219.85;01/06/2008 08:00;215.15
26/10/2008 13:33;220.03;01/06/2008 09:00;215.15
05/11/2008 11:31;219.49;01/06/2008 10:00;215.16
15/11/2008 09:30;220.56;01/06/2008 11:00;215.16
25/11/2008 07:28;219.88;01/06/2008 12:00;215.18
05/12/2008 05:27;218.34;01/06/2008 13:00;215.18
15/12/2008 03:25;218.03;01/06/2008 14:00;215.18
25/12/2008 01:24;217.26;01/06/2008 15:00;215.19
03/01/2009 23:22;217.91;01/06/2008 16:00;215.20
13/01/2009 21:21;218.04;01/06/2008 17:00;215.20
23/01/2009 19:19;218.56;01/06/2008 18:00;215.20
02/02/2009 17:18;218.80;01/06/2008 19:00;215.19
12/02/2009 15:17;219.51;01/06/2008 20:00;215.19
22/02/2009 13:15;219.64;01/06/2008 21:00;215.20
04/03/2009 11:14;220.51;01/06/2008 22:00;215.20
14/03/2009 09:12;219.82;01/06/2008 23:00;215.21
24/03/2009 07:11;219.29;02/06/2008 00:00;215.20
03/04/2009 05:09;220.20;02/06/2008 01:00;215.21
13/04/2009 03:08;219.77;02/06/2008 02:00;215.22
02/05/2009 23:05;218.63;02/06/2008 03:00;215.22
12/05/2009 21:03;219.03;02/06/2008 04:00;215.23
22/05/2009 19:02;218.34;02/06/2008 05:00;215.23
01/06/2009 17:00;219.97;02/06/2008 06:00;215.24
29/08/2009 22:47;220.42;02/06/2008 07:00;215.24
08/09/2009 20:46;220.47;02/06/2008 08:00;215.24
18/09/2009 18:44;219.57;02/06/2008 09:00;215.24
28/09/2009 16:43;220.46;02/06/2008 10:00;215.25
26/12/2009 22:29;217.67;02/06/2008 11:00;215.25
05/01/2010 20:28;219.78;02/06/2008 12:00;215.25
15/01/2010 18:26;220.39;02/06/2008 13:00;215.26
25/01/2010 16:25;220.24;02/06/2008 14:00;215.25
24/04/2010 22:12;215.73;02/06/2008 15:00;215.25
04/05/2010 20:10;219.90;02/06/2008 16:00;215.25
14/05/2010 18:09;220.35;02/06/2008 17:00;215.25
24/05/2010 16:07;220.16;02/06/2008 18:00;215.25
11/08/2010 23:55;219.64;02/06/2008 19:00;215.25
21/08/2010 21:54;220.06;02/06/2008 20:00;215.25
31/08/2010 19:52;219.93;02/06/2008 21:00;215.25
10/09/2010 17:51;220.06;02/06/2008 22:00;215.24
20/09/2010 15:50;219.89;02/06/2008 23:00;215.25
08/12/2010 23:38;221.14;03/06/2008 00:00;215.25
18/12/2010 21:36;220.68;03/06/2008 01:00;215.24
28/12/2010 19:35;220.39;03/06/2008 02:00;215.24
07/01/2011 17:33;220.43;03/06/2008 03:00;215.26
06/04/2011 23:20;217.95;03/06/2008 04:00;215.26
16/04/2011 21:19;217.58;03/06/2008 05:00;215.27
26/04/2011 19:17;220.06;03/06/2008 06:00;215.27
06/05/2011 17:16;220.60;03/06/2008 07:00;215.30
03/08/2011 23:02;218.45;03/06/2008 08:00;215.28
13/08/2011 21:01;219.94;03/06/2008 09:00;215.26
23/08/2011 18:59;219.99;03/06/2008 10:00;215.25
02/09/2011 16:58;220.60;03/06/2008 11:00;215.25
12/09/2011 14:56;220.74;03/06/2008 12:00;215.25
22/09/2011 12:55;220.57;03/06/2008 13:00;215.26
02/10/2011 10:53;218.41;03/06/2008 14:00;215.26
12/10/2011 08:52;220.06;03/06/2008 15:00;215.25
22/10/2011 06:51;220.75;03/06/2008 16:00;215.24
30/11/2011 22:45;219.75;03/06/2008 17:00;215.25
10/12/2011 20:43;220.48;03/06/2008 18:00;215.24
20/12/2011 18:42;220.87;03/06/2008 19:00;215.25
30/12/2011 16:40;220.57;03/06/2008 20:00;215.24
09/01/2012 14:39;220.51;03/06/2008 21:00;215.24
19/01/2012 12:37;220.81;03/06/2008 22:00;215.23
29/01/2012 10:36;220.52;03/06/2008 23:00;215.22
08/02/2012 08:34;220.20;04/06/2008 00:00;215.24
28/03/2012 22:27;217.92;04/06/2008 01:00;215.24
07/04/2012 20:25;220.08;04/06/2008 02:00;215.24
17/04/2012 18:24;219.55;04/06/2008 03:00;215.25
27/04/2012 16:23;217.80;04/06/2008 04:00;215.25
07/05/2012 14:21;220.29;04/06/2008 05:00;215.25
17/05/2012 12:20;219.25;04/06/2008 06:00;215.25
27/05/2012 10:18;219.88;04/06/2008 07:00;215.25
06/06/2012 08:17;216.97;04/06/2008 08:00;215.25
04/08/2012 20:08;220.00;04/06/2008 09:00;215.25
14/08/2012 18:06;219.60;04/06/2008 10:00;215.24
24/08/2012 16:05;219.49;04/06/2008 11:00;215.25
03/09/2012 14:03;219.63;04/06/2008 12:00;215.24
13/09/2012 12:02;219.22;04/06/2008 13:00;215.23
03/10/2012 07:59;219.40;04/06/2008 14:00;215.22
01/12/2012 19:50;216.97;04/06/2008 15:00;215.22
11/12/2012 17:49;217.47;04/06/2008 16:00;215.23
21/12/2012 15:47;217.30;04/06/2008 17:00;215.23
31/12/2012 13:46;217.26;04/06/2008 18:00;215.23
10/01/2013 11:44;216.56;04/06/2008 19:00;215.22
30/01/2013 07:41;216.35;04/06/2008 20:00;215.22
20/03/2013 21:34;219.46;04/06/2008 21:00;215.22
30/03/2013 19:32;219.60;04/06/2008 22:00;215.22
09/04/2013 17:31;220.83;04/06/2008 23:00;215.21
19/04/2013 15:29;221.06;05/06/2008 00:00;215.22
29/04/2013 13:28;220.10;05/06/2008 01:00;215.21
09/05/2013 11:26;219.07;05/06/2008 02:00;215.21
19/05/2013 09:25;217.47;05/06/2008 03:00;215.21
29/05/2013 07:24;220.05;05/06/2008 04:00;215.21
17/07/2013 21:16;218.77;05/06/2008 05:00;215.21
27/07/2013 19:15;218.80;05/06/2008 06:00;215.21
06/08/2013 17:13;220.47;05/06/2008 07:00;215.20
16/08/2013 15:12;219.47;05/06/2008 08:00;215.20
26/08/2013 13:10;219.77;05/06/2008 09:00;215.20
15/09/2013 09:07;218.58;05/06/2008 10:00;215.20
25/09/2013 07:06;217.53;05/06/2008 11:00;215.20
03/11/2013 23:00;218.42;05/06/2008 12:00;215.20
13/11/2013 20:58;218.10;05/06/2008 13:00;215.19
23/11/2013 18:57;217.78;05/06/2008 14:00;215.18
03/12/2013 16:56;217.59;05/06/2008 15:00;215.18
13/12/2013 14:54;217.12;05/06/2008 16:00;215.17
23/12/2013 12:53;216.73;05/06/2008 17:00;215.17
02/01/2014 10:51;217.70;05/06/2008 18:00;215.17
12/01/2014 08:50;217.67;05/06/2008 19:00;215.17
22/01/2014 06:48;217.68;05/06/2008 20:00;215.16
02/03/2014 22:42;215.42;05/06/2008 21:00;215.16
22/03/2014 18:39;217.81;05/06/2008 22:00;215.16
01/04/2014 16:38;218.46;05/06/2008 23:00;215.16
11/04/2014 14:36;217.74;06/06/2008 00:00;215.17
21/04/2014 12:35;218.36;06/06/2008 01:00;215.16
01/05/2014 10:33;218.73;06/06/2008 02:00;215.16
11/05/2014 08:32;218.98;06/06/2008 03:00;215.16
21/05/2014 06:31;217.67;06/06/2008 04:00;215.16
31/05/2014 04:29;219.48;06/06/2008 05:00;215.16
10/06/2014 02:28;219.77;06/06/2008 06:00;215.16
20/06/2014 00:26;220.30;06/06/2008 07:00;215.17
29/07/2014 16:20;219.18;06/06/2008 08:00;215.16
08/08/2014 14:19;218.07;06/06/2008 09:00;215.15
18/08/2014 12:17;218.08;06/06/2008 10:00;215.16
28/08/2014 10:16;215.43;06/06/2008 11:00;215.15
07/09/2014 08:14;214.36;06/06/2008 12:00;215.15
17/09/2014 06:13;216.36;06/06/2008 13:00;215.14
27/09/2014 04:11;217.66;06/06/2008 14:00;215.13
07/10/2014 02:10;219.32;06/06/2008 15:00;215.13
17/10/2014 00:08;218.25;06/06/2008 16:00;215.12
25/11/2014 16:03;217.36;06/06/2008 17:00;215.12
05/12/2014 14:01;217.32;06/06/2008 18:00;215.12
15/12/2014 12:00;217.17;06/06/2008 19:00;215.12
04/01/2015 07:57;217.91;06/06/2008 20:00;215.12
14/01/2015 05:55;215.72;06/06/2008 21:00;215.11
24/01/2015 03:54;216.70;06/06/2008 22:00;215.11
03/02/2015 01:52;216.79;06/06/2008 23:00;215.11
12/02/2015 23:51;215.93;07/06/2008 01:00;215.11
24/03/2015 15:45;217.83;07/06/2008 02:00;215.12
03/04/2015 13:43;217.92;07/06/2008 03:00;215.12
13/04/2015 11:42;218.05;07/06/2008 04:00;215.11
03/05/2015 07:39;218.55;07/06/2008 05:00;215.12
13/05/2015 05:37;217.26;07/06/2008 06:00;215.12
23/05/2015 03:36;218.64;07/06/2008 07:00;215.12
02/06/2015 01:35;218.64;07/06/2008 08:00;215.13
11/06/2015 23:33;217.69;07/06/2008 09:00;215.13
21/07/2015 15:27;220.68;07/06/2008 10:00;215.13
31/07/2015 13:26;220.62;07/06/2008 11:00;215.13
10/08/2015 11:24;220.38;07/06/2008 12:00;215.13
20/08/2015 09:23;218.27;07/06/2008 13:00;215.13
30/08/2015 07:21;218.91;07/06/2008 14:00;215.13
09/09/2015 05:20;216.18;07/06/2008 15:00;215.13
19/09/2015 03:18;218.63;07/06/2008 16:00;215.14
29/09/2015 01:17;217.48;07/06/2008 17:00;215.14
08/10/2015 23:15;217.54;07/06/2008 18:00;215.14
07/11/2015 17:11;220.38;07/06/2008 19:00;215.14
17/11/2015 15:10;219.42;07/06/2008 20:00;215.14
27/11/2015 13:08;220.55;07/06/2008 21:00;215.15
07/12/2015 11:07;219.92;07/06/2008 22:00;215.14
17/12/2015 09:05;220.53;07/06/2008 23:00;215.15
27/12/2015 07:04;220.10;08/06/2008 00:00;215.15
06/01/2016 05:02;220.58;08/06/2008 01:00;215.16
16/01/2016 03:01;219.70;08/06/2008 02:00;215.16
26/01/2016 00:59;218.54;08/06/2008 03:00;215.16
05/03/2016 16:53;220.86;08/06/2008 04:00;215.17
15/03/2016 14:52;220.23;08/06/2008 05:00;215.18
25/03/2016 12:50;220.38;08/06/2008 06:00;215.18
04/04/2016 10:49;220.77;08/06/2008 07:00;215.19
14/04/2016 08:47;219.95;08/06/2008 08:00;215.19
24/04/2016 06:46;219.16;08/06/2008 09:00;215.19
04/05/2016 04:44;217.85;08/06/2008 10:00;215.19
14/05/2016 02:43;218.38;08/06/2008 11:00;215.20
24/05/2016 00:42;219.83;08/06/2008 12:00;215.20
22/06/2016 18:37;219.72;08/06/2008 13:00;215.20
02/07/2016 16:36;220.51;08/06/2008 14:00;215.21
12/07/2016 14:34;220.02;08/06/2008 15:00;215.20
22/07/2016 12:33;219.28;08/06/2008 16:00;215.21
01/08/2016 10:31;217.07;08/06/2008 17:00;215.21
11/08/2016 08:30;218.33;08/06/2008 18:00;215.20
21/08/2016 06:28;219.87;08/06/2008 19:00;215.20
31/08/2016 04:27;218.85;08/06/2008 20:00;215.20
10/09/2016 02:25;220.77;08/06/2008 21:00;215.20
20/09/2016 00:24;219.92;08/06/2008 22:00;215.20
29/09/2016 22:22;216.57;08/06/2008 23:00;215.20
;;09/06/2008 00:00;215.20
;;09/06/2008 01:00;215.20
;;09/06/2008 02:00;215.20
;;09/06/2008 03:00;215.21
;;09/06/2008 04:00;215.22
;;09/06/2008 05:00;215.22
;;09/06/2008 06:00;215.22
;;09/06/2008 07:00;215.22
;;09/06/2008 08:00;215.20
;;09/06/2008 09:00;215.22
;;09/06/2008 10:00;215.21
;;09/06/2008 11:00;215.21
;;09/06/2008 12:00;215.19
;;09/06/2008 13:00;215.20
;;09/06/2008 14:00;215.21
;;09/06/2008 15:00;215.20
;;09/06/2008 16:00;215.18
;;09/06/2008 17:00;215.18
;;09/06/2008 18:00;215.16
;;09/06/2008 19:00;215.18
;;09/06/2008 20:00;215.20
;;09/06/2008 21:00;215.20
;;09/06/2008 22:00;215.19
;;09/06/2008 23:00;215.18
;;10/06/2008 00:00;215.17
;;10/06/2008 01:00;215.15
;;10/06/2008 02:00;215.16
;;10/06/2008 03:00;215.18
;;10/06/2008 04:00;215.18
;;10/06/2008 05:00;215.19
;;10/06/2008 06:00;215.18
;;10/06/2008 07:00;215.17
;;10/06/2008 08:00;215.17
;;10/06/2008 09:00;215.18
;;10/06/2008 10:00;215.18
;;10/06/2008 11:00;215.18
;;10/06/2008 12:00;215.17
;;10/06/2008 13:00;215.16
;;10/06/2008 14:00;215.16
;;10/06/2008 15:00;215.16
;;10/06/2008 16:00;215.16
;;10/06/2008 17:00;215.16
;;10/06/2008 18:00;215.15
;;10/06/2008 19:00;215.14
;;10/06/2008 20:00;215.13
;;10/06/2008 21:00;215.13
;;10/06/2008 22:00;215.14
;;10/06/2008 23:00;215.14
;;11/06/2008 00:00;215.14
;;11/06/2008 01:00;215.13
;;11/06/2008 02:00;215.10
;;11/06/2008 03:00;215.12
;;11/06/2008 04:00;215.12
;;11/06/2008 05:00;215.14
;;11/06/2008 06:00;215.09
;;11/06/2008 07:00;215.11
;;11/06/2008 08:00;215.12
;;11/06/2008 09:00;215.13
;;11/06/2008 10:00;215.11
;;11/06/2008 11:00;215.10
;;11/06/2008 12:00;215.10
;;11/06/2008 13:00;215.11
;;11/06/2008 14:00;215.11
;;11/06/2008 15:00;215.09
;;11/06/2008 16:00;215.08
;;11/06/2008 17:00;215.07
;;11/06/2008 18:00;215.06
;;11/06/2008 19:00;215.05
;;11/06/2008 20:00;215.04
;;11/06/2008 21:00;215.06
